customerid,recency,frequency,monetary,rfm,RFM_Category
24273,295,295,2181.5625,554,Loyal Customers
14263,334,334,2049.0982,554,Loyal Customers
14323,322,322,2071.4196,554,Loyal Customers
16052,331,331,2181.5625,554,Loyal Customers
15170,290,290,2071.4196,554,Loyal Customers
27058,361,361,2049.0982,554,Loyal Customers
24164,289,289,2181.5625,554,Loyal Customers
23640,360,360,2181.5625,554,Loyal Customers
14045,356,356,2049.0982,554,Loyal Customers
15127,292,292,2071.4196,554,Loyal Customers
27095,321,321,2049.0982,554,Loyal Customers
14672,309,309,2071.4196,554,Loyal Customers
15210,303,303,2071.4196,554,Loyal Customers
17958,311,311,2181.5625,554,Loyal Customers
17812,350,350,2181.5625,554,Loyal Customers
19040,364,364,1000.4375,554,Loyal Customers
23660,327,327,2181.5625,554,Loyal Customers
12548,289,289,2049.0982,554,Loyal Customers
18021,302,302,2181.5625,554,Loyal Customers
15027,299,299,2049.0982,554,Loyal Customers
24270,294,294,2181.5625,554,Loyal Customers
14031,348,348,2049.0982,554,Loyal Customers
27201,303,303,2049.0982,554,Loyal Customers
27078,362,362,2071.4196,554,Loyal Customers
15044,291,291,2049.0982,554,Loyal Customers
23998,331,331,2181.5625,554,Loyal Customers
14234,337,337,2071.4196,554,Loyal Customers
15651,353,353,2181.5625,554,Loyal Customers
19046,319,319,1000.4375,554,Loyal Customers
15213,301,301,2049.0982,554,Loyal Customers
29771,307,307,1328.8962,554,Loyal Customers
27089,308,308,2049.0982,554,Loyal Customers
25114,301,301,1000.4375,554,Loyal Customers
24172,291,291,2181.5625,554,Loyal Customers
17829,363,363,2181.5625,554,Loyal Customers
15130,298,298,2049.0982,554,Loyal Customers
29482,317,317,2049.0982,554,Loyal Customers
24006,328,328,2181.5625,554,Loyal Customers
29479,331,331,2049.0982,554,Loyal Customers
12499,322,322,2049.0982,554,Loyal Customers
17972,290,290,2181.5625,554,Loyal Customers
15665,353,353,2181.5625,554,Loyal Customers
24009,336,336,2181.5625,554,Loyal Customers
16203,334,334,2181.5625,554,Loyal Customers
24175,291,291,2181.5625,554,Loyal Customers
27069,348,348,2049.0982,554,Loyal Customers
27092,334,334,2071.4196,554,Loyal Customers
21284,360,360,2049.0982,554,Loyal Customers
14039,352,352,2049.0982,554,Loyal Customers
12479,331,331,2071.4196,554,Loyal Customers
19057,335,335,1000.4375,554,Loyal Customers
15144,301,301,2049.0982,554,Loyal Customers
14666,325,325,2049.0982,554,Loyal Customers
15207,306,306,2071.4196,554,Loyal Customers
27195,294,294,2071.4196,554,Loyal Customers
17849,356,356,2181.5625,554,Loyal Customers
27086,319,319,2049.0982,554,Loyal Customers
27232,295,295,2049.0982,554,Loyal Customers
27255,295,295,2049.0982,554,Loyal Customers
16286,307,307,2181.5625,554,Loyal Customers
15204,298,298,2049.0982,554,Loyal Customers
14354,342,342,1000.4375,554,Loyal Customers
14225,335,335,2049.0982,554,Loyal Customers
27212,293,293,2071.4196,554,Loyal Customers
27106,320,320,2071.4196,554,Loyal Customers
14325,311,311,2049.0982,554,Loyal Customers
21272,357,357,2071.4196,554,Loyal Customers
27206,292,292,2071.4196,554,Loyal Customers
24252,290,290,2181.5625,554,Loyal Customers
14262,332,332,2071.4196,554,Loyal Customers
16289,293,293,2181.5625,554,Loyal Customers
29450,319,319,2049.0982,554,Loyal Customers
27063,352,352,2071.4196,554,Loyal Customers
27017,362,362,2049.0982,554,Loyal Customers
17199,325,325,2181.5625,554,Loyal Customers
24169,290,290,2181.5625,554,Loyal Customers
23651,330,330,2181.5625,554,Loyal Customers
17943,328,328,2181.5625,554,Loyal Customers
15181,296,296,2071.4196,554,Loyal Customers
25022,352,352,1000.4375,554,Loyal Customers
27103,313,313,2049.0982,554,Loyal Customers
23545,365,365,2181.5625,554,Loyal Customers
17093,345,345,2181.5625,554,Loyal Customers
27080,326,326,2071.4196,554,Loyal Customers
14322,335,335,2049.0982,554,Loyal Customers
19254,295,295,1000.4375,554,Loyal Customers
19274,303,303,1000.4375,554,Loyal Customers
27226,300,300,2049.0982,554,Loyal Customers
14030,342,342,2071.4196,554,Loyal Customers
15035,292,292,2071.4196,554,Loyal Customers
27020,363,363,2071.4196,554,Loyal Customers
14033,349,349,2071.4196,554,Loyal Customers
25108,306,306,1000.4375,554,Loyal Customers
24272,295,295,2181.5625,554,Loyal Customers
24249,301,301,2181.5625,554,Loyal Customers
27083,327,327,2049.0982,554,Loyal Customers
24166,291,291,2181.5625,554,Loyal Customers
24003,337,337,2181.5625,554,Loyal Customers
27097,329,329,2071.4196,554,Loyal Customers
16051,323,323,2181.5625,554,Loyal Customers
14671,310,310,2071.4196,554,Loyal Customers
24266,304,304,2181.5625,554,Loyal Customers
12484,311,311,2049.0982,554,Loyal Customers
27240,297,297,2049.0982,554,Loyal Customers
23994,310,310,2181.5625,554,Loyal Customers
14230,330,330,2049.0982,554,Loyal Customers
24163,302,302,2181.5625,554,Loyal Customers
27094,314,314,2071.4196,554,Loyal Customers
23662,323,323,2181.5625,554,Loyal Customers
19188,317,317,1000.4375,554,Loyal Customers
21266,361,361,2049.0982,554,Loyal Customers
15152,301,301,2049.0982,554,Loyal Customers
29404,361,361,2049.0982,554,Loyal Customers
14236,314,314,2071.4196,554,Loyal Customers
26533,337,337,1000.4375,554,Loyal Customers
24177,306,306,2181.5625,554,Loyal Customers
19065,332,332,1000.4375,554,Loyal Customers
15129,294,294,2071.4196,554,Loyal Customers
27077,355,355,2071.4196,554,Loyal Customers
12713,294,294,2071.4196,554,Loyal Customers
27117,290,290,2071.4196,554,Loyal Customers
17960,322,322,2181.5625,554,Loyal Customers
15043,293,293,2071.4196,554,Loyal Customers
12487,321,321,2071.4196,554,Loyal Customers
25030,346,346,1000.4375,554,Loyal Customers
17811,291,291,2181.5625,554,Loyal Customers
15169,304,304,2071.4196,554,Loyal Customers
14668,331,331,2071.4196,554,Loyal Customers
27091,313,313,2071.4196,554,Loyal Customers
25033,365,365,1000.4375,554,Loyal Customers
12736,297,297,2071.4196,554,Loyal Customers
27051,346,346,2049.0982,554,Loyal Customers
27074,360,360,2049.0982,554,Loyal Customers
15192,306,306,2049.0982,554,Loyal Customers
24008,323,323,2181.5625,554,Loyal Customers
14310,318,318,2071.4196,554,Loyal Customers
12521,300,300,2071.4196,554,Loyal Customers
12475,332,332,2071.4196,554,Loyal Customers
27231,301,301,2049.0982,554,Loyal Customers
26235,295,295,2181.5625,554,Loyal Customers
27088,331,331,2071.4196,554,Loyal Customers
23653,334,334,2181.5625,554,Loyal Customers
12624,290,290,2049.0982,554,Loyal Customers
16262,336,336,2181.5625,554,Loyal Customers
15180,298,298,2071.4196,554,Loyal Customers
12501,307,307,2071.4196,554,Loyal Customers
23593,361,361,2181.5625,554,Loyal Customers
24005,334,334,2181.5625,554,Loyal Customers
12495,317,317,2071.4196,554,Loyal Customers
27108,324,324,2071.4196,554,Loyal Customers
21423,315,315,2049.0982,554,Loyal Customers
15120,298,298,2049.0982,554,Loyal Customers
27045,349,349,2049.0982,554,Loyal Customers
15143,306,306,2071.4196,554,Loyal Customers
15183,297,297,2071.4196,554,Loyal Customers
27234,294,294,2071.4196,554,Loyal Customers
27211,297,297,2071.4196,554,Loyal Customers
27068,350,350,2049.0982,554,Loyal Customers
14038,356,356,2049.0982,554,Loyal Customers
14055,357,357,2049.0982,554,Loyal Customers
29415,364,364,2049.0982,554,Loyal Customers
27251,303,303,2049.0982,554,Loyal Customers
27105,332,332,2049.0982,554,Loyal Customers
16205,323,323,2181.5625,554,Loyal Customers
21311,357,357,2049.0982,554,Loyal Customers
15171,305,305,2049.0982,554,Loyal Customers
27079,327,327,2071.4196,554,Loyal Customers
17965,315,315,2181.5625,554,Loyal Customers
27056,358,358,2071.4196,554,Loyal Customers
14238,322,322,2049.0982,554,Loyal Customers
27096,308,308,2071.4196,554,Loyal Customers
23664,322,322,2181.5625,554,Loyal Customers
14261,326,326,2049.0982,554,Loyal Customers
29718,307,307,1308.9375,554,Loyal Customers
23999,308,308,2181.5625,554,Loyal Customers
23996,326,326,2181.5625,554,Loyal Customers
25021,361,361,1000.4375,554,Loyal Customers
14673,326,326,2071.4196,554,Loyal Customers
14235,312,312,2071.4196,554,Loyal Customers
15151,291,291,2049.0982,554,Loyal Customers
24248,300,300,2181.5625,554,Loyal Customers
24271,291,291,2181.5625,554,Loyal Customers
27076,348,348,2071.4196,554,Loyal Customers
24002,311,311,2181.5625,554,Loyal Customers
14324,331,331,2049.0982,554,Loyal Customers
27228,296,296,2071.4196,554,Loyal Customers
17962,321,321,2181.5625,554,Loyal Customers
14032,362,362,2071.4196,554,Loyal Customers
19067,328,328,1000.4375,554,Loyal Customers
23544,340,340,2181.5625,554,Loyal Customers
14676,321,321,2049.0982,554,Loyal Customers
16259,325,325,2181.5625,554,Loyal Customers
15569,319,319,782.99,553,Other Segments
15529,361,361,782.99,553,Other Segments
19419,313,313,782.99,553,Other Segments
19442,304,304,782.99,553,Other Segments
15841,293,293,782.99,553,Other Segments
20876,295,295,782.99,553,Other Segments
20922,364,364,782.99,553,Other Segments
26764,336,336,782.99,553,Other Segments
26747,352,352,782.99,553,Other Segments
20896,296,296,782.99,553,Other Segments
15532,339,339,782.99,553,Other Segments
27285,318,318,782.99,553,Other Segments
15535,343,343,782.99,553,Other Segments
26750,313,313,782.99,553,Other Segments
26796,297,297,782.99,553,Other Segments
15538,341,341,782.99,553,Other Segments
27297,312,312,782.99,553,Other Segments
20845,364,364,782.99,553,Other Segments
26916,304,304,782.99,553,Other Segments
26753,338,338,782.99,553,Other Segments
15521,363,363,782.99,553,Other Segments
20917,342,342,782.99,553,Other Segments
15527,353,353,782.99,553,Other Segments
20874,289,289,782.99,553,Other Segments
20931,348,348,782.99,553,Other Segments
29782,307,307,339.7375,553,Other Segments
27406,295,295,782.99,553,Other Segments
29610,307,307,508.3909,553,Other Segments
15770,293,293,782.99,553,Other Segments
15750,327,327,782.99,553,Other Segments
20854,320,320,782.99,553,Other Segments
29490,338,338,405.585,553,Other Segments
15547,349,349,782.99,553,Other Segments
26745,344,344,782.99,553,Other Segments
26751,319,319,782.99,553,Other Segments
15739,338,338,782.99,553,Other Segments
15842,291,291,782.99,553,Other Segments
19446,289,289,782.99,553,Other Segments
26662,364,364,782.99,553,Other Segments
26797,291,291,782.99,553,Other Segments
15851,307,307,782.99,553,Other Segments
27404,312,312,782.99,553,Other Segments
29545,307,307,249.54,553,Other Segments
27298,313,313,782.99,553,Other Segments
20843,358,358,782.99,553,Other Segments
26923,291,291,782.99,553,Other Segments
26754,317,317,782.99,553,Other Segments
15542,346,346,782.99,553,Other Segments
15568,310,310,782.99,553,Other Segments
15768,300,300,782.99,553,Other Segments
19366,337,337,782.99,553,Other Segments
27267,352,352,782.99,553,Other Segments
15737,333,333,782.99,553,Other Segments
26746,359,359,782.99,553,Other Segments
26740,342,342,782.99,553,Other Segments
15528,347,347,782.99,553,Other Segments
19338,341,341,782.99,553,Other Segments
26663,347,347,782.99,553,Other Segments
15525,365,365,782.99,553,Other Segments
26763,327,327,782.99,553,Other Segments
15565,337,337,782.99,553,Other Segments
15840,301,301,782.99,553,Other Segments
15537,361,361,782.99,553,Other Segments
26921,301,301,782.99,553,Other Segments
26752,338,338,782.99,553,Other Segments
29852,338,338,648.9054,553,Other Segments
15780,295,295,782.99,553,Other Segments
30104,307,307,968.4284,553,Other Segments
27270,315,315,782.99,553,Other Segments
15534,361,361,782.99,553,Other Segments
20921,341,341,782.99,553,Other Segments
29726,338,338,396.072,553,Other Segments
15531,361,361,782.99,553,Other Segments
29858,307,307,107.988,553,Other Segments
20870,295,295,782.99,553,Other Segments
20847,339,339,782.99,553,Other Segments
15769,300,300,782.99,553,Other Segments
15523,359,359,782.99,553,Other Segments
26761,321,321,782.99,553,Other Segments
26924,293,293,782.99,553,Other Segments
15540,343,343,782.99,553,Other Segments
29884,338,338,67.539,552,Other Segments
29998,246,169,67985.0268,455,Loyal Customers
11017,212,212,2316.97,455,Loyal Customers
11338,214,214,2369.96,455,Loyal Customers
27820,215,215,2419.06,455,Loyal Customers
16688,215,215,2502.83,455,Loyal Customers
18208,214,214,2457.33,455,Loyal Customers
22430,216,216,2638.94,455,Loyal Customers
24425,209,209,2419.06,455,Loyal Customers
20180,212,212,2487.89,455,Loyal Customers
24883,209,209,2487.33,455,Loyal Customers
29649,246,169,32696.4273,455,Loyal Customers
24468,246,246,2443.35,455,Loyal Customers
24176,284,284,2443.35,455,Loyal Customers
16313,216,216,2542.31,455,Loyal Customers
11278,210,210,2329.98,455,Loyal Customers
22822,213,213,2475.95,455,Loyal Customers
24179,283,283,2443.35,455,Loyal Customers
30044,277,277,30197.6692,455,Loyal Customers
22785,212,212,2451.3,455,Loyal Customers
25779,210,210,2479.94,455,Loyal Customers
11089,215,215,2351.96,455,Loyal Customers
11335,209,209,2344.26,455,Loyal Customers
24339,216,216,2384.07,455,Loyal Customers
19341,210,210,2498.34,455,Loyal Customers
16702,208,208,2443.35,455,Loyal Customers
18173,271,271,2443.35,455,Loyal Customers
19049,220,220,2443.35,455,Loyal Customers
29703,277,277,56174.6585,455,Loyal Customers
11020,215,215,2316.97,455,Loyal Customers
26294,274,274,2443.35,455,Loyal Customers
23234,214,214,2478.34,455,Loyal Customers
11332,207,207,2354.98,455,Loyal Customers
11083,207,207,2394.97,455,Loyal Customers
29663,246,169,8905.0305,455,Loyal Customers
18239,216,216,2452.34,455,Loyal Customers
29600,246,246,2458.9178,455,Loyal Customers
24596,239,239,2443.35,455,Loyal Customers
11292,213,213,2331.95,455,Loyal Customers
29746,246,169,14994.527,455,Loyal Customers
25793,213,213,2479.94,455,Loyal Customers
13519,214,214,2443.35,455,Loyal Customers
11257,213,213,2297.28,455,Loyal Customers
24061,208,208,2413.06,455,Loyal Customers
24367,249,249,2443.35,455,Loyal Customers
29680,277,277,2550.0938,455,Loyal Customers
19418,210,210,2475.95,455,Loyal Customers
16693,210,210,2482.23,455,Loyal Customers
25618,212,212,2398.05,455,Loyal Customers
16547,232,232,2443.35,455,Loyal Customers
24307,248,248,2443.35,455,Loyal Customers
24161,283,283,2443.35,455,Loyal Customers
11263,216,216,2394.97,455,Loyal Customers
29946,277,277,23863.0438,455,Loyal Customers
19037,229,229,2443.35,455,Loyal Customers
25795,205,205,2482.23,455,Loyal Customers
28203,208,208,2384.07,455,Loyal Customers
24301,275,275,2443.35,455,Loyal Customers
17998,219,219,2443.35,455,Loyal Customers
30106,246,169,6172.4534,455,Loyal Customers
30083,246,169,45009.4136,455,Loyal Customers
11062,206,206,2351.96,455,Loyal Customers
29562,246,169,44355.96,455,Loyal Customers
28202,214,214,2419.06,455,Loyal Customers
19048,235,235,2443.35,455,Loyal Customers
18212,210,210,2451.3,455,Loyal Customers
11265,210,210,2351.96,455,Loyal Customers
24378,247,247,2443.35,455,Loyal Customers
29513,277,277,45752.4717,455,Loyal Customers
11282,211,211,2420.46,455,Loyal Customers
30074,277,277,97597.1168,455,Loyal Customers
29954,246,169,33145.6855,455,Loyal Customers
16532,222,222,2443.35,455,Loyal Customers
24481,233,233,2443.35,455,Loyal Customers
24458,266,266,2443.35,455,Loyal Customers
19031,226,226,2443.35,455,Loyal Customers
11245,216,216,2334.97,455,Loyal Customers
29662,277,277,3701.7696,455,Loyal Customers
19360,212,212,2511.32,455,Loyal Customers
17980,242,242,2443.35,455,Loyal Customers
29739,246,169,14116.0837,455,Loyal Customers
11156,205,205,2389.97,455,Loyal Customers
30108,277,277,29654.2607,455,Loyal Customers
29988,277,277,3218.1375,455,Loyal Customers
11136,210,210,2380.47,455,Loyal Customers
24598,240,240,2443.35,455,Loyal Customers
20038,213,213,2443.35,455,Loyal Customers
28136,211,211,2384.07,455,Loyal Customers
18166,265,265,2443.35,455,Loyal Customers
29573,246,246,3715.1625,455,Loyal Customers
29885,277,277,44161.7113,455,Loyal Customers
29484,246,169,30937.9131,455,Loyal Customers
24366,250,250,2443.35,455,Loyal Customers
29507,277,277,32258.7344,455,Loyal Customers
29699,277,277,31536.6745,455,Loyal Customers
24303,248,248,2443.35,455,Loyal Customers
18246,207,207,2452.34,455,Loyal Customers
11267,206,206,2364.96,455,Loyal Customers
19036,220,220,2443.35,455,Loyal Customers
29793,246,169,47485.5004,455,Loyal Customers
11167,206,206,2329.99,455,Loyal Customers
24300,254,254,2443.35,455,Loyal Customers
29667,277,277,11497.0491,455,Loyal Customers
18243,206,206,2479.94,455,Loyal Customers
24274,275,275,2443.35,455,Loyal Customers
18220,206,206,2443.35,455,Loyal Customers
28207,208,208,2461.55,455,Loyal Customers
29853,277,277,53097.089,455,Loyal Customers
19073,226,226,2443.35,455,Loyal Customers
11270,206,206,2405.95,455,Loyal Customers
24586,234,234,2443.35,455,Loyal Customers
29836,277,277,68243.9474,455,Loyal Customers
18240,205,205,2520.31,455,Loyal Customers
16551,223,223,2443.35,455,Loyal Customers
19359,206,206,2478.34,455,Loyal Customers
29876,277,277,2618.4758,455,Loyal Customers
11084,209,209,2322.28,455,Loyal Customers
30045,277,277,30242.8503,455,Loyal Customers
24403,207,207,2393.06,455,Loyal Customers
19070,229,229,2443.35,455,Loyal Customers
11264,211,211,2375.95,455,Loyal Customers
29953,277,277,34098.5966,455,Loyal Customers
25625,213,213,2433.04,455,Loyal Customers
11261,214,214,2329.98,455,Loyal Customers
24165,281,281,2443.35,455,Loyal Customers
24480,236,236,2443.35,455,Loyal Customers
24434,205,205,2398.05,455,Loyal Customers
24417,205,205,2467.02,455,Loyal Customers
24371,269,269,2443.35,455,Loyal Customers
11155,207,207,2319.99,455,Loyal Customers
28204,213,213,2419.06,455,Loyal Customers
27534,237,237,2071.4196,454,Loyal Customers
30099,246,246,1295.988,454,Loyal Customers
16797,205,205,1732.26,454,Loyal Customers
15214,262,262,2071.4196,454,Loyal Customers
12827,236,236,2071.4196,454,Loyal Customers
15589,248,248,2071.4196,454,Loyal Customers
27205,282,282,2049.0982,454,Loyal Customers
24474,240,240,2181.5625,454,Loyal Customers
18045,236,236,2181.5625,454,Loyal Customers
13551,240,240,2049.0982,454,Loyal Customers
19316,225,225,1000.4375,454,Loyal Customers
27288,264,264,2049.0982,454,Loyal Customers
17942,272,272,2181.5625,454,Loyal Customers
16548,228,228,2181.5625,454,Loyal Customers
24168,279,279,2181.5625,454,Loyal Customers
16156,217,217,2049.0982,454,Loyal Customers
21629,251,251,2049.0982,454,Loyal Customers
19167,212,212,1120.49,454,Loyal Customers
17779,266,266,1000.4375,454,Loyal Customers
18168,255,255,2181.5625,454,Loyal Customers
16176,246,246,2049.0982,454,Loyal Customers
17945,254,254,2181.5625,454,Loyal Customers
19917,240,240,1000.4375,454,Loyal Customers
15801,218,218,2049.0982,454,Loyal Customers
13554,233,233,2071.4196,454,Loyal Customers
16425,261,261,2181.5625,454,Loyal Customers
27537,239,239,2071.4196,454,Loyal Customers
16027,237,237,2071.4196,454,Loyal Customers
12867,233,233,2071.4196,454,Loyal Customers
27268,270,270,2049.0982,454,Loyal Customers
15220,250,250,2049.0982,454,Loyal Customers
19940,245,245,1000.4375,454,Loyal Customers
22940,208,208,1763.97,454,Loyal Customers
15755,220,220,2049.0982,454,Loyal Customers
27431,249,249,2049.0982,454,Loyal Customers
27540,226,226,2071.4196,454,Loyal Customers
18028,263,263,2181.5625,454,Loyal Customers
15134,282,282,2071.4196,454,Loyal Customers
27554,228,228,2071.4196,454,Loyal Customers
29976,246,169,1343.4289,454,Loyal Customers
24257,280,280,2181.5625,454,Loyal Customers
18177,270,270,2181.5625,454,Loyal Customers
27274,252,252,2049.0982,454,Loyal Customers
16159,223,223,2071.4196,454,Loyal Customers
15767,223,223,2049.0982,454,Loyal Customers
12850,217,217,2071.4196,454,Loyal Customers
15575,276,276,2071.4196,454,Loyal Customers
24377,258,258,2181.5625,454,Loyal Customers
27262,252,252,2049.0982,454,Loyal Customers
15037,283,283,2071.4196,454,Loyal Customers
27543,235,235,2049.0982,454,Loyal Customers
15435,267,267,2071.4196,454,Loyal Customers
27460,227,227,2071.4196,454,Loyal Customers
12833,220,220,2049.0982,454,Loyal Customers
15644,263,263,2071.4196,454,Loyal Customers
27291,277,277,2071.4196,454,Loyal Customers
12813,272,272,2049.0982,454,Loyal Customers
22631,207,207,1149.47,454,Loyal Customers
16288,279,279,2181.5625,454,Loyal Customers
19285,270,270,1000.4375,454,Loyal Customers
15724,270,270,2049.0982,454,Loyal Customers
29893,216,216,1020.594,454,Loyal Customers
24592,232,232,2181.5625,454,Loyal Customers
27423,259,259,2071.4196,454,Loyal Customers
15223,270,270,2071.4196,454,Loyal Customers
15764,237,237,2071.4196,454,Loyal Customers
17825,284,284,2181.5625,454,Loyal Customers
27523,225,225,2049.0982,454,Loyal Customers
29581,246,169,1070.8905,454,Loyal Customers
17974,285,285,2181.5625,454,Loyal Customers
15226,263,263,2071.4196,454,Loyal Customers
25113,286,286,1000.4375,454,Loyal Customers
27294,250,250,2071.4196,454,Loyal Customers
27440,273,273,2049.0982,454,Loyal Customers
15578,264,264,2071.4196,454,Loyal Customers
15601,252,252,2049.0982,454,Loyal Customers
21658,241,241,2071.4196,454,Loyal Customers
27271,251,251,2071.4196,454,Loyal Customers
12747,247,247,2049.0982,454,Loyal Customers
27546,223,223,2049.0982,454,Loyal Customers
16560,228,228,2181.5625,454,Loyal Customers
15266,252,252,2071.4196,454,Loyal Customers
16268,285,285,2181.5625,454,Loyal Customers
15040,284,284,2071.4196,454,Loyal Customers
17891,223,223,1000.4375,454,Loyal Customers
18160,257,257,2181.5625,454,Loyal Customers
15784,230,230,2049.0982,454,Loyal Customers
13517,222,222,2049.0982,454,Loyal Customers
27277,249,249,2071.4196,454,Loyal Customers
15595,277,277,2049.0982,454,Loyal Customers
27254,285,285,2049.0982,454,Loyal Customers
27535,239,239,2049.0982,454,Loyal Customers
22998,216,216,1750.98,454,Loyal Customers
17885,231,231,1000.4375,454,Loyal Customers
24463,237,237,2181.5625,454,Loyal Customers
16566,220,220,2181.5625,454,Loyal Customers
19912,257,257,1000.4375,454,Loyal Customers
19314,275,275,1000.4375,454,Loyal Customers
17940,268,268,2181.5625,454,Loyal Customers
25242,232,232,1000.4375,454,Loyal Customers
27257,278,278,2071.4196,454,Loyal Customers
27280,266,266,2049.0982,454,Loyal Customers
17934,258,258,2181.5625,454,Loyal Customers
17834,253,253,1000.4375,454,Loyal Customers
27260,273,273,2049.0982,454,Loyal Customers
17894,233,233,1000.4375,454,Loyal Customers
17977,280,280,2181.5625,454,Loyal Customers
15229,271,271,2049.0982,454,Loyal Customers
29530,246,169,1610.49,454,Loyal Customers
15753,235,235,2049.0982,454,Loyal Customers
27572,235,235,2071.4196,454,Loyal Customers
15215,259,259,2049.0982,454,Loyal Customers
14007,205,177,1886.2048,454,Loyal Customers
15756,219,219,2071.4196,454,Loyal Customers
